2023-06-28 13:02:38,584 - DisMultGES - INFO -  Epoch: 11 || GPU Occupy: 6704.4040.MiB || Train Loss: 2.1174 ||
2023-06-28 13:03:21,563 - DisMultGES - INFO -  Epoch: 12 || GPU Occupy: 6704.4040.MiB || Train Loss: 1.2993 ||
2023-06-28 13:04:04,138 - DisMultGES - INFO -  Epoch: 13 || GPU Occupy: 6704.4040.MiB || Train Loss: 2.9751 ||
2023-06-28 13:04:46,468 - DisMultGES - INFO -  Epoch: 14 || GPU Occupy: 6704.4040.MiB || Train Loss: 2.4794 ||
2023-06-28 13:05:28,982 - DisMultGES - INFO -  Epoch: 15 || GPU Occupy: 6704.4040.MiB || Train Loss: 1.3250 ||
2023-06-28 13:06:00,825 - DisMultGES - INFO -  Epoch: 16 || GPU Occupy: 6704.4040.MiB || Train Loss: 1.0177 ||
2023-06-28 13:06:32,869 - DisMultGES - INFO -  Epoch: 17 || GPU Occupy: 6704.4040.MiB || Train Loss: 2.0200 ||
2023-06-28 13:07:04,591 - DisMultGES - INFO -  Epoch: 18 || GPU Occupy: 6704.4040.MiB || Train Loss: 5.3590 ||
2023-06-28 13:07:36,520 - DisMultGES - INFO -  Epoch: 19 || GPU Occupy: 6704.4193.MiB || Train Loss: 1.7895 ||
2023-06-28 13:08:08,566 - DisMultGES - INFO -  Epoch: 20 || GPU Occupy: 6704.4193.MiB || Train Loss: 0.1093 ||
2023-06-28 13:08:40,878 - DisMultGES - INFO -  Epoch: 21 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.1044 ||
2023-06-28 13:09:23,283 - DisMultGES - INFO -  Epoch: 22 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.1967 ||
2023-06-28 13:10:05,480 - DisMultGES - INFO -  Epoch: 23 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.7111 ||
2023-06-28 13:10:40,148 - DisMultGES - INFO -  Epoch: 24 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.0773 ||
2023-06-28 13:11:22,567 - DisMultGES - INFO -  Epoch: 25 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.2899 ||
2023-06-28 13:12:21,749 - DisMultGES - INFO -  Epoch: 0 || GPU Occupy: 6704.4470.MiB || Train Loss: 129.9870 ||
2023-06-28 13:13:00,013 - DisMultGES - INFO -  Epoch: 1 || GPU Occupy: 6704.4470.MiB || Train Loss: 129.5266 ||
2023-06-28 13:13:42,388 - DisMultGES - INFO -  Epoch: 2 || GPU Occupy: 6704.4470.MiB || Train Loss: 124.4330 ||
2023-06-28 13:14:24,641 - DisMultGES - INFO -  Epoch: 3 || GPU Occupy: 6704.4470.MiB || Train Loss: 104.4087 ||
2023-06-28 13:15:06,870 - DisMultGES - INFO -  Epoch: 4 || GPU Occupy: 6704.4470.MiB || Train Loss: 68.8676 ||
2023-06-28 13:15:49,314 - DisMultGES - INFO -  Epoch: 5 || GPU Occupy: 6704.4470.MiB || Train Loss: 42.8928 ||
2023-06-28 13:16:21,116 - DisMultGES - INFO -  Epoch: 6 || GPU Occupy: 6704.4470.MiB || Train Loss: 19.3737 ||
2023-06-28 13:16:53,077 - DisMultGES - INFO -  Epoch: 7 || GPU Occupy: 6704.4470.MiB || Train Loss: 9.8705 ||
2023-06-28 13:17:25,000 - DisMultGES - INFO -  Epoch: 8 || GPU Occupy: 6704.4470.MiB || Train Loss: 5.7242 ||
2023-06-28 13:17:57,108 - DisMultGES - INFO -  Epoch: 9 || GPU Occupy: 6704.4470.MiB || Train Loss: 6.1339 ||
2023-06-28 13:18:28,714 - DisMultGES - INFO -  Epoch: 10 || GPU Occupy: 6704.4470.MiB || Train Loss: 4.0060 ||
2023-06-28 13:19:00,744 - DisMultGES - INFO -  Epoch: 11 || GPU Occupy: 6704.4470.MiB || Train Loss: 1.4943 ||
2023-06-28 13:19:43,142 - DisMultGES - INFO -  Epoch: 12 || GPU Occupy: 6704.4470.MiB || Train Loss: 1.5449 ||
2023-06-28 13:20:25,581 - DisMultGES - INFO -  Epoch: 13 || GPU Occupy: 6704.4470.MiB || Train Loss: 1.9073 ||
2023-06-28 13:21:07,760 - DisMultGES - INFO -  Epoch: 14 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.6236 ||
2023-06-28 13:21:50,123 - DisMultGES - INFO -  Epoch: 15 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.4443 ||
2023-06-28 13:22:32,415 - DisMultGES - INFO -  Epoch: 16 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.1820 ||
2023-06-28 13:23:14,394 - DisMultGES - INFO -  Epoch: 17 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.1296 ||
2023-06-28 13:23:57,003 - DisMultGES - INFO -  Epoch: 18 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.3656 ||
2023-06-28 13:24:38,970 - DisMultGES - INFO -  Epoch: 19 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.4012 ||
2023-06-28 13:25:21,260 - DisMultGES - INFO -  Epoch: 20 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.8240 ||
2023-06-28 13:26:03,552 - DisMultGES - INFO -  Epoch: 21 || GPU Occupy: 6704.4470.MiB || Train Loss: 0.2815 ||
2023-06-28 13:26:46,076 - DisMultGES - INFO -  Epoch: 22 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.0718 ||
2023-06-28 13:27:28,269 - DisMultGES - INFO -  Epoch: 23 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.3430 ||
2023-06-28 13:28:10,085 - DisMultGES - INFO -  Epoch: 24 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.7156 ||
2023-06-28 13:28:59,709 - DisMultGES - INFO -  Epoch: 0 || GPU Occupy: 6704.4915.MiB || Train Loss: 129.9870 ||
2023-06-28 13:29:27,846 - DisMultGES - INFO -  Epoch: 1 || GPU Occupy: 6704.4915.MiB || Train Loss: 129.6533 ||
